pid,Member_Name,,Image,Father_Name,Mother_Name,Date_of_Birth,Marital_Status,Spouse_Name,Children,Educational_Qualification,Profession,Positions_Held,State,Nominated,Party,Term_From,Start_Year_Appointment,Term_To,End_Year_Appointment,Term_Number,Reason_and_Date_of_Vacation,Type
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P2.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Rajasthan,FALSE,Indian National Congress,20-08-2019,2019,04-03-2024,2024,6,,current
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Assam,FALSE,Indian National Congress,15-06-2013,2013,14-06-2019,2019,5,Retirement,current
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Assam,FALSE,Indian National Congress,15-06-2007,2007,14-06-2013,2013,4,Retirement,current
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Assam,FALSE,Indian National Congress,15-06-2001,2001,14-06-2007,2007,3,Retirement,current
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Assam,FALSE,CONG(I),15-06-1995,1995,14-06-2001,2001,2,Retirement,current
RS1010543727,Dr. Manmohan Singh,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Gurmukh Singh,Shrimati Amrit Kaur,26-Sep-32,Married on 14 September 1958,Shrimati Gursharan Kaur,Three daughters,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K.","Civil Service, Economist, Political and Social Worker, Teacher and Educationist","1971-72Economic Advisor, Ministry of Foreign Trade, India1972-76Chief Economic Advisor, Ministry of Finance, India1976-80Director, Reserve Bank of India Director, Industrial Development Bank of India Alternate Governor for India, Board of Governors, Asian Development Bank, Manila Alternate Governor for India, Board of Governors, I.B.R.D.Nov. 1976 - April 1980Secretary, Ministry of Finance (Department of Economic Affairs), Government of IndiaMember, Finance, Atomic Energy Commission, Government of India Member, Finance, Space Commission, Government of IndiaApril 1980-15 Sept. 1982  1980-83Member-Secretary, Planning Commission  Chairman, India Committee of the Indo-Japan Joint Study Committee16 Sept. 1982-14 Jan. 1985Governor, Reserve Bank of India1982-85Alternate Governor for India, Board of Governors, I.M.F.1983-84Member, Economic Advisory Council to the Prime Minister1985President, Indian Economic Association15 Jan. 1985-31 July 1987Deputy Chairman, Planning Commission1 Aug. 1987-10 Nov. 1990Secretary-General and Commissioner, South Commission, Geneva10 Dec. 1990-14 March 1991Advisor to the Prime Minister of India on Economic Affairs15 March 1991-20 June 1991Chairman, U.G.C.21 June 1991-15 May 1996Union Finance MinisterOct. 1991Elected to Rajya Sabha1991-95Governor for India on the Board of Governors of the I.M.F. and the International Bank for Reconstruction and DevelopmentJune 1995Re-elected to Rajya Sabha (second term)1996 - May 2004Member, Consultative Committee for the Ministry of Finance1 Aug. 1996 - 4 Dec. 1997Chairman, Committee on Commerce21 March 1998 - 21 May 2004Leader of the Opposition, Rajya Sabha5 June 1998 - Feb. 2004Member, Committee on Finance13 Aug. 1998 - 21 May 2004 Member, Committee on Rules13 Aug. 1998 - 2001Member, Committee of Privileges2000 - May 2004Member, Executive Committee, Indian Parliamentary GroupJune 2001Re-elected to Rajya Sabha (third term)Aug. 2001- May 2004and Aug. 2004 - May 2014Member, General Purposes Committee22 May 2004 - 26 May 2014Prime Minister of IndiaLeader of the House, Rajya SabhaJune 2007Re-elected to Rajya Sabha (fourth term)June 2013Re-elected to Rajya Sabha (fifth term)Sept. 2014 onwardsMember, Committee on FinanceAug. 2019Elected to Rajya Sabha (sixth term)",Assam,FALSE,CONG(I),10-01-1991,1991,14-06-1995,1995,1,Retirement,current
GEKL31470,Shri A.K. Antony,,http://164.100.47.5/newmembers/photos/P517.jpg,Shri Arakkaparambil Kurian Pillai,Shrimati Aley Kutty,28-Dec-40,Married on 17 March 1985,Shrimati Elizabeth Antony,Two sons,"B.A., B.L. Educated at University of Kerala","Advocate, Political and Social Worker","1970-77, 1977- 79, 1995- 96, 1996- 2001 and 2001- 2005Member, Kerala Legislative Assembly1977 - 78, 1995 - 96, 2001- 2004Chief Minister, KeralaApril 1985      Elected to Rajya SabhaApril 1991      Re-elected to Rajya Sabha(second term)1993-95Union Cabinet Minister, Civil Supplies, Consumer Affairs and Public Distribution1996 - 2001Leader of Opposition, Kerala Legislative AssemblyMay 2005      Re-elected to Rajya Sabha (third term)May 2006 - Oct. 2006Member, Parliamentary Forum on Population and Public HealthJune 2006 - Oct. 2006Member, Committee on Health and Family Welfare24 Oct. 2006 - 26 May 2014Minister of DefenceApril 2010Re-elected to Rajya Sabha (fourth term)Sept. 2014 - May 2019Member, Committee on RailwaysApril 2016Re-elected to Rajya Sabha (fifth term)April 2016 - May 2019Member, Consultative Committee for the Ministry of Civil AviationSept. 2019 onwardsMember, Committee on Health and Family WelfareOct. 2019 onwardsMember, Consultative Committee for the Ministry of Health and Family Welfare",Kerala,FALSE,Indian National Congress,04-03-2016,2016,04-02-2022,2022,5,,current
GEKL31470,Shri A.K. Antony,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Arakkaparambil Kurian Pillai,Shrimati Aley Kutty,28-Dec-40,Married on 17 March 1985,Shrimati Elizabeth Antony,Two sons,"B.A., B.L. Educated at University of Kerala","Advocate, Political and Social Worker","1970-77, 1977- 79, 1995- 96, 1996- 2001 and 2001- 2005Member, Kerala Legislative Assembly1977 - 78, 1995 - 96, 2001- 2004Chief Minister, KeralaApril 1985      Elected to Rajya SabhaApril 1991      Re-elected to Rajya Sabha(second term)1993-95Union Cabinet Minister, Civil Supplies, Consumer Affairs and Public Distribution1996 - 2001Leader of Opposition, Kerala Legislative AssemblyMay 2005      Re-elected to Rajya Sabha (third term)May 2006 - Oct. 2006Member, Parliamentary Forum on Population and Public HealthJune 2006 - Oct. 2006Member, Committee on Health and Family Welfare24 Oct. 2006 - 26 May 2014Minister of DefenceApril 2010Re-elected to Rajya Sabha (fourth term)Sept. 2014 - May 2019Member, Committee on RailwaysApril 2016Re-elected to Rajya Sabha (fifth term)April 2016 - May 2019Member, Consultative Committee for the Ministry of Civil AviationSept. 2019 onwardsMember, Committee on Health and Family WelfareOct. 2019 onwardsMember, Consultative Committee for the Ministry of Health and Family Welfare",Kerala,FALSE,Indian National Congress,04-03-2010,2010,04-02-2016,2016,4,Retirement,current
GEKL31470,Shri A.K. Antony,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Arakkaparambil Kurian Pillai,Shrimati Aley Kutty,28-Dec-40,Married on 17 March 1985,Shrimati Elizabeth Antony,Two sons,"B.A., B.L. Educated at University of Kerala","Advocate, Political and Social Worker","1970-77, 1977- 79, 1995- 96, 1996- 2001 and 2001- 2005Member, Kerala Legislative Assembly1977 - 78, 1995 - 96, 2001- 2004Chief Minister, KeralaApril 1985      Elected to Rajya SabhaApril 1991      Re-elected to Rajya Sabha(second term)1993-95Union Cabinet Minister, Civil Supplies, Consumer Affairs and Public Distribution1996 - 2001Leader of Opposition, Kerala Legislative AssemblyMay 2005      Re-elected to Rajya Sabha (third term)May 2006 - Oct. 2006Member, Parliamentary Forum on Population and Public HealthJune 2006 - Oct. 2006Member, Committee on Health and Family Welfare24 Oct. 2006 - 26 May 2014Minister of DefenceApril 2010Re-elected to Rajya Sabha (fourth term)Sept. 2014 - May 2019Member, Committee on RailwaysApril 2016Re-elected to Rajya Sabha (fifth term)April 2016 - May 2019Member, Consultative Committee for the Ministry of Civil AviationSept. 2019 onwardsMember, Committee on Health and Family WelfareOct. 2019 onwardsMember, Consultative Committee for the Ministry of Health and Family Welfare",Kerala,FALSE,Indian National Congress,30-05-2005,2005,04-02-2010,2010,3,Retirement,current
GEKL31470,Shri A.K. Antony,,http://164.100.47.5/newmembers/photos/P0.jpg,Shri Arakkaparambil Kurian Pillai,Shrimati Aley Kutty,28-Dec-40,Married on 17 March 1985,Shrimati Elizabeth Antony,Two sons,"B.A., B.L. Educated at University of Kerala","Advocate, Political and Social Worker","1970-77, 1977- 79, 1995- 96, 1996- 2001 and 2001- 2005Member, Kerala Legislative Assembly1977 - 78, 1995 - 96, 2001- 2004Chief Minister, KeralaApril 1985      Elected to Rajya SabhaApril 1991      Re-elected to Rajya Sabha(second term)1993-95Union Cabinet Minister, Civil Supplies, Consumer Affairs and Public Distribution1996 - 2001Leader of Opposition, Kerala Legislative AssemblyMay 2005      Re-elected to Rajya Sabha (third term)May 2006 - Oct. 2006Member, Parliamentary Forum on Population and Public HealthJune 2006 - Oct. 2006Member, Committee on Health and Family Welfare24 Oct. 2006 - 26 May 2014Minister of DefenceApril 2010Re-elected to Rajya Sabha (fourth term)Sept. 2014 - May 2019Member, Committee on RailwaysApril 2016Re-elected to Rajya Sabha (fifth term)April 2016 - May 2019Member, Consultative Committee for the Ministry of Civil AviationSept. 2019 onwardsMember, Committee on Health and Family WelfareOct. 2019 onwardsMember, Consultative Committee for the Ministry of Health and Family Welfare",Kerala,FALSE,CONG(I),22-04-1991,1991,21-04-1997,1997,2,Resignation: 12 Jun 1995,current
